
m/z	Intensity
58.0651	81465.7109375
59.0683	1621.116943359375
72.0443	1604.7110595703125
72.0812	867.392822265625
77.0388	934.2249145507812
78.0464	652.1707763671875
79.0542	370.05950927734375
91.0541	1375.2569580078125
93.0703	343.6794128417969
105.0701	1004.81201171875
107.0487	424.5046081542969
109.0648	1113.6070556640625
115.0543	6228.40087890625
116.0575	498.95330810546875
117.0701	883.7694702148438
119.0496	303.3374938964844
119.0860	323.4753112792969
121.0655	239207.296875
122.0687	13991.3896484375
123.0447	471.20831298828125
123.0707	673.8090209960938
129.0697	648.5479736328125
131.0498	405.77789306640625
133.0650	322.03851318359375
135.0442	451.8505859375
135.0814	27561.009765625
136.0845	2547.14794921875
137.0606	20698.98046875
138.0632	1564.583984375
143.0502	47418.08984375
144.0545	4468.07177734375
145.0649	1845.010986328125
146.0705	309.9258117675781
147.0811	1023.0130004882812
149.0604	1066.7220458984375
149.0962	291.29888916015625
151.0762	3941.666015625
152.0786	434.0292053222656
157.0659	682.8939819335938
159.0811	16721.83984375
160.0526	784.0277709960938
160.0849	1878.64599609375
161.0599	706.5198974609375
161.0964	1266.366943359375
162.0672	456.0586853027344
163.0763	773.1137084960938
163.1002	1604.470947265625
164.1058	308.9786071777344
165.0923	352.86871337890625
175.0762	31673.029296875
176.0798	2834.138916015625
176.1067	469.05279541015625
177.0916	4684.9560546875
177.1118	354.8369140625
178.0919	821.4896240234375
188.1078	295.7713928222656
189.0911	442.6799011230469
190.0875	316.2748107910156
191.0904	607.622802734375
192.1024	7221.26806640625
193.1092	2385.501953125
194.1177	825.8192749023438
195.0818	456.6637878417969
195.1190	288.24639892578125
206.1180	1835.6190185546875
207.1247	1032.2459716796875
208.0886	1091.6600341796875
209.0967	458.86981201171875
219.0799	844.6173706054688
220.0880	565.9265747070312
220.1339	941.8527221679688
221.0964	537.034912109375
223.0747	419.08221435546875
223.1125	6029.7158203125
224.1157	993.8538818359375
225.0916	403.00421142578125
225.1277	2100.680908203125
226.1309	378.8623046875
233.0964	422.8529052734375
236.0843	612.41552734375
237.0905	483.1383972167969
238.0981	264.1300048828125
250.0994	309.08990478515625
251.1071	15288.990234375
252.1115	2632.75
253.0869	380.21240234375
253.1227	2697.527099609375
254.0942	898.8577880859375
254.1262	490.7925109863281
255.1004	514.9620971679688
255.1373	297.7976989746094
256.1095	332.5459899902344
265.1223	927.3289794921875
268.1095	1588.02001953125
268.1693	310.5483093261719
269.1164	486.7500915527344
270.1257	318.2510986328125
271.1332	253.0906982421875
281.1167	330.0459899902344
283.1338	39565.640625
284.1371	5785.57080078125
285.1481	6712.47705078125
286.1523	1079.5489501953125
296.1647	1051.4930419921875
297.1479	386.70880126953125
297.1683	372.8077087402344
312.1596	549.4011840820312
313.1672	1706.0030517578125
314.1714	275.00030517578125
328.1920	86554.890625
